"Label (Grouping)","Total"
"ZCTA5 01084",""
"    ZCTA5 01084","185"
"ZCTA5 01085",""
"    ZCTA5 01085","41,529"
"ZCTA5 01088",""
"    ZCTA5 01088","598"
"ZCTA5 01089",""
"    ZCTA5 01089","28,835"
"ZCTA5 01092",""
"    ZCTA5 01092","1,343"
"ZCTA5 01093",""
"    ZCTA5 01093","290"
"ZCTA5 01094",""
"    ZCTA5 01094","60"
"ZCTA5 01095",""
"    ZCTA5 01095","14,694"
"ZCTA5 01096",""
"    ZCTA5 01096","2,509"
"ZCTA5 01097",""
"    ZCTA5 01097","130"
"ZCTA5 01098",""
"    ZCTA5 01098","1,147"
"ZCTA5 01103",""
"    ZCTA5 01103","2,545"
"ZCTA5 01104",""
"    ZCTA5 01104","23,598"
"ZCTA5 01105",""
"    ZCTA5 01105","12,051"
"ZCTA5 01106",""
"    ZCTA5 01106","16,165"
"ZCTA5 01107",""
"    ZCTA5 01107","11,252"
"ZCTA5 01108",""
"    ZCTA5 01108","27,671"
"ZCTA5 01109",""
"    ZCTA5 01109","30,968"
"ZCTA5 01118",""
"    ZCTA5 01118","14,296"
"ZCTA5 01119",""
"    ZCTA5 01119","14,393"
"ZCTA5 01128",""
"    ZCTA5 01128","2,647"
"ZCTA5 01129",""
"    ZCTA5 01129","7,024"
"ZCTA5 01144",""
"    ZCTA5 01144","0"
"ZCTA5 01151",""
"    ZCTA5 01151","9,150"
"ZCTA5 01201",""
"    ZCTA5 01201","45,494"
"ZCTA5 01220",""
"    ZCTA5 01220","8,166"
"ZCTA5 01222",""
"    ZCTA5 01222","835"
"ZCTA5 01223",""
"    ZCTA5 01223","2,430"
"ZCTA5 01224",""
"    ZCTA5 01224","217"
"ZCTA5 01225",""
"    ZCTA5 01225","3,258"
"ZCTA5 01226",""
"    ZCTA5 01226","6,324"
"ZCTA5 01229",""
"    ZCTA5 01229","189"
"ZCTA5 01230",""
"    ZCTA5 01230","8,907"
"ZCTA5 01235",""
"    ZCTA5 01235","2,733"
"ZCTA5 01236",""
"    ZCTA5 01236","1,513"
"ZCTA5 01237",""
"    ZCTA5 01237","2,365"
"ZCTA5 01238",""
"    ZCTA5 01238","5,722"
"ZCTA5 01240",""
"    ZCTA5 01240","4,692"
"ZCTA5 01242",""
"    ZCTA5 01242","449"
"ZCTA5 01243",""
"    ZCTA5 01243","175"
"ZCTA5 01244",""
"    ZCTA5 01244","287"
"ZCTA5 01245",""
"    ZCTA5 01245","933"
"ZCTA5 01247",""
"    ZCTA5 01247","15,147"
"ZCTA5 01253",""
"    ZCTA5 01253","808"
"ZCTA5 01254",""
"    ZCTA5 01254","946"
"ZCTA5 01255",""
"    ZCTA5 01255","959"
"ZCTA5 01256",""
"    ZCTA5 01256","645"
"ZCTA5 01257",""
"    ZCTA5 01257","2,140"
"ZCTA5 01258",""
"    ZCTA5 01258","160"
"ZCTA5 01259",""
"    ZCTA5 01259","643"
"ZCTA5 01260",""
"    ZCTA5 01260","233"
"ZCTA5 01262",""
"    ZCTA5 01262","1,758"
"ZCTA5 01264",""
"    ZCTA5 01264","219"
"ZCTA5 01266",""
"    ZCTA5 01266","1,208"
"ZCTA5 01267",""
"    ZCTA5 01267","7,876"
"ZCTA5 01270",""
"    ZCTA5 01270","755"
"ZCTA5 01301",""
"    ZCTA5 01301","18,042"
"ZCTA5 01330",""
"    ZCTA5 01330","1,500"
"ZCTA5 01331",""
"    ZCTA5 01331","13,656"
"ZCTA5 01337",""
"    ZCTA5 01337","2,562"
"ZCTA5 01338",""
"    ZCTA5 01338","127"
"ZCTA5 01339",""
"    ZCTA5 01339","1,487"
